aX,aY,aZ,gX,gY,gZ
0.292,2.139,-0.455,12.878,28.809,-23.437
0.225,2.051,-0.530,35.278,57.556,-20.630
0.078,1.975,-0.596,49.866,77.026,-23.254
0.128,1.930,-0.635,49.622,83.069,-30.518
0.097,1.903,-0.690,38.513,77.759,-34.485
0.069,1.827,-0.742,22.278,70.679,-33.752
0.038,1.712,-0.810,5.371,56.458,-35.400
0.026,1.647,-0.901,-9.399,38.757,-35.889
0.031,1.602,-0.982,-20.691,18.494,-33.020
-0.003,1.585,-1.018,-26.978,-0.977,-27.283
-0.041,1.565,-1.046,-27.710,-17.273,-25.391
-0.088,1.526,-1.070,-22.034,-30.273,-26.184
-0.118,1.504,-1.079,-12.329,-40.466,-24.719
-0.155,1.484,-1.080,-1.221,-47.363,-23.560
-0.166,1.455,-1.079,11.047,-51.941,-28.015
-0.192,1.387,-1.031,27.100,-56.580,-40.649
-0.226,1.249,-0.928,49.377,-58.838,-59.082
-0.222,1.079,-0.787,75.073,-55.420,-79.224
-0.209,0.924,-0.636,99.426,-49.194,-99.304
-0.252,0.815,-0.491,122.314,-43.030,-117.920
-0.382,0.744,-0.342,143.433,-38.147,-132.935
-0.324,0.553,-0.284,161.011,-37.537,-142.456
-0.336,0.279,-0.124,168.396,-39.856,-152.039
-0.312,-0.001,0.090,169.861,-37.292,-155.701
-0.232,-0.227,0.288,168.945,-29.053,-149.841
-0.178,-0.351,0.391,162.415,-17.456,-140.015
-0.251,-0.376,0.438,146.240,-4.517,-129.822
-0.286,-0.338,0.464,120.056,1.709,-121.277
-0.334,-0.418,0.472,84.656,-2.380,-116.211
-0.197,-0.622,0.545,38.513,-27.527,-119.568
-0.005,-0.923,0.702,-3.052,-67.383,-115.356
0.313,-1.268,0.957,-33.936,-107.910,-91.064
0.650,-1.521,1.210,-54.443,-135.498,-47.913
0.911,-1.688,1.413,-70.374,-144.836,0.183
1.140,-1.801,1.494,-86.670,-131.775,39.673
1.237,-1.765,1.432,-100.464,-95.154,62.683
1.170,-1.600,1.301,-98.450,-40.527,67.322
1.018,-1.436,1.011,-83.862,18.250,48.279
0.789,-1.227,0.750,-58.777,74.951,17.029
0.603,-1.137,0.405,-27.710,122.864,2.808
0.420,-0.664,0.213,-14.160,145.447,-37.354
0.324,-0.575,0.014,8.484,151.550,-17.883
0.234,-0.437,-0.051,17.761,139.282,28.076
0.066,-0.330,-0.078,5.432,105.591,50.903
0.034,-0.236,-0.048,-11.169,79.163,78.247
0.065,-0.188,-0.007,-28.625,52.612,99.609
0.065,-0.118,0.059,-41.870,31.128,116.760
0.044,-0.014,0.152,-47.363,15.991,130.859
0.024,0.096,0.208,-46.875,3.967,138.306
0.035,0.231,0.228,-43.823,-4.944,138.916
0.047,0.409,0.211,-40.039,-10.742,135.437
-0.005,0.570,0.220,-34.790,-14.160,130.249
-0.052,0.672,0.202,-27.954,-16.296,123.169
-0.035,0.746,0.131,-22.766,-15.503,114.136
-0.037,0.847,0.059,-22.461,-13.733,102.173
-0.060,0.990,-0.004,-25.696,-11.230,86.670
-0.020,1.204,-0.101,-30.945,-9.033,69.458
0.097,1.401,-0.268,-38.818,-5.493,51.453
0.226,1.550,-0.376,-52.063,-2.075,35.706
0.296,1.652,-0.486,-65.430,1.343,23.804
0.308,1.671,-0.557,-70.801,10.925,16.296
0.268,1.629,-0.627,-65.430,25.635,10.376
0.224,1.577,-0.677,-50.293,42.969,5.310
0.249,1.591,-0.712,-31.738,56.885,-0.305
0.283,1.684,-0.729,-15.381,62.927,-8.118
0.325,1.790,-0.741,-3.418,63.477,-17.944
0.348,1.864,-0.750,3.052,62.012,-28.076
0.337,1.905,-0.741,4.395,62.317,-36.804
0.319,1.948,-0.722,5.493,65.247,-39.551
0.276,1.980,-0.684,10.132,68.665,-31.128
0.208,2.046,-0.615,16.052,70.435,-11.353
0.062,2.156,-0.543,20.203,69.824,15.991
-0.161,2.337,-0.469,18.066,66.956,47.791
-0.349,2.576,-0.478,3.906,58.350,78.613
-0.401,2.785,-0.490,-29.541,38.025,97.046
-0.328,2.929,-0.585,-82.214,0.854,97.778
-0.172,2.943,-0.678,-136.780,-46.509,83.191
0.038,2.863,-0.765,-173.584,-90.637,62.683
0.236,2.701,-0.798,-180.298,-122.498,44.373
0.384,2.522,-0.761,-159.546,-138.245,29.785
0.496,2.326,-0.681,-123.901,-137.146,17.822
0.569,2.128,-0.598,-87.341,-119.324,8.606
0.606,1.959,-0.544,-55.908,-87.463,2.258
0.605,1.840,-0.531,-27.405,-45.898,-0.732
0.570,1.786,-0.542,-0.488,-2.197,-2.014
0.508,1.766,-0.549,23.376,39.185,-3.174
0.455,1.768,-0.599,38.269,73.181,-4.211
0.404,1.755,-0.661,41.931,98.022,-4.150
0.360,1.732,-0.721,38.452,113.525,-2.014
0.356,1.700,-0.808,31.433,119.324,1.465
0.329,1.673,-0.908,20.996,116.333,4.578
0.348,1.609,-0.991,8.057,108.582,5.798
0.358,1.577,-1.066,-6.470,92.712,4.333
0.345,1.501,-1.093,-16.541,70.007,10.376
0.250,1.401,-1.084,-23.499,40.710,18.005
0.154,1.348,-1.057,-28.503,11.963,23.865
0.058,1.307,-1.014,-31.494,-11.658,28.931
-0.036,1.265,-0.973,-33.325,-30.396,31.982
-0.151,1.239,-0.939,-35.339,-44.617,31.982
-0.230,1.246,-0.912,-35.767,-57.373,28.564
-0.269,1.216,-0.910,-31.860,-68.420,24.475
-0.328,1.181,-0.879,-27.527,-77.271,11.780
-0.378,1.106,-0.828,-18.188,-85.693,-7.019
-0.385,0.911,-0.762,-5.066,-93.872,-36.377
-0.387,0.688,-0.679,11.230,-99.304,-71.289
-0.427,0.510,-0.565,35.400,-97.595,-103.333
-0.459,0.333,-0.450,72.266,-84.717,-130.310
-0.482,0.119,-0.340,111.084,-63.110,-152.100
-0.479,-0.052,-0.199,139.587,-43.945,-164.795
-0.418,-0.188,-0.106,150.574,-38.269,-162.903
-0.390,-0.411,0.036,143.677,-48.218,-151.672
-0.269,-0.628,0.194,117.981,-74.463,-128.723
-0.247,-0.741,0.334,80.078,-116.760,-95.825
-0.252,-0.774,0.502,42.847,-163.391,-57.861
-0.209,-0.772,0.661,14.893,-207.947,-28.137
-0.082,-0.803,0.841,0.916,-240.295,-9.338
0.094,-0.779,1.020,-3.601,-252.930,0.793
0.242,-0.799,1.194,1.587,-243.958,6.897
0.550,-0.771,1.433,37.842,-161.621,22.522
0.682,-0.727,1.411,55.847,-103.760,26.001
0.716,-0.668,1.370,64.209,-42.664,19.897
0.799,-0.626,1.268,63.965,12.451,9.949
0.775,-0.627,1.169,57.861,53.345,2.136
0.719,-0.643,1.047,48.584,82.397,4.028
0.588,-0.654,0.843,33.813,102.234,15.503
