-0.007,-1.011,0.090,-15.625,-4.395,-9.705
-0.034,-1.021,0.088,-7.202,-2.136,-5.066
-0.007,-0.998,0.081,2.502,-1.404,3.479
0.017,-0.988,0.060,12.207,-0.549,9.033
0.032,-0.980,0.021,17.090,2.136,10.010
0.036,-0.990,-0.009,19.287,3.235,9.094
0.039,-0.990,-0.037,17.761,3.296,7.629
0.039,-0.992,-0.050,13.550,2.197,6.042
0.040,-0.992,-0.052,8.118,0.610,4.395
0.038,-0.989,-0.045,2.136,-0.977,2.625
0.034,-0.987,-0.031,-2.991,-2.441,0.916
0.029,-0.987,-0.014,-6.653,-3.662,-0.732
0.022,-0.989,0.006,-8.484,-3.845,-2.014
0.014,-0.992,0.021,-8.606,-3.662,-2.502
0.001,-1.002,0.035,-6.958,-3.052,-2.075
-0.002,-1.001,0.040,-3.540,-2.197,0.183
0.005,-0.993,0.036,0.793,-1.831,3.662

